target,train_score,test_score,model
treatment,0.7167530224525043,0.7373868046571799,log_regression
treatment,1.0,0.7347994825355757,random_forest
treatment,0.7145941278065631,0.6869340232858991,knn
treatment,0.6964594127806563,0.7166882276843467,svm
treatment,0.9753886010362695,0.47736093143596375,deep_learning
tech_company,0.7936096718480138,0.7878395860284605,log_regression
tech_company,0.9995682210708118,0.7800776196636481,random_forest
tech_company,0.7992227979274611,0.7645536869340233,knn
tech_company,0.7854058721934369,0.7852522639068564,svm
tech_company,0.9926597582037997,0.7050452782913444,deep_learning
wellness_program,0.7612262521588946,0.7451487710219923,log_regression
wellness_program,1.0,0.7399741267787839,random_forest
wellness_program,0.7374784110535406,0.7115135834411385,knn
wellness_program,0.7478411053540587,0.7296248382923674,svm
wellness_program,0.9939550949913645,0.6946959897278198,deep_learning
